sample_id,image_path,leaf_dir,filename,qc_label,primary_issue,notes,round_name,source_sample_id,sampling_reason,leaf_score,leaf_reject,leaf_uncertain,leaf_usable,round_order
qc_0001,/home/wangqianqian/project/FS/data/28gusui&pizang/03/01/cell_1761645688191_912349010008_7751_0100.png,28gusui&pizang/03/01,cell_1761645688191_912349010008_7751_0100.png,uncertain,,,round1,,,,,,,1
qc2_0141,/home/wangqianqian/project/FS/data/28gusui&pizang/03/01/cell_1761645690421_912349010008_7869_0100.png,28gusui&pizang/03/01,cell_1761645690421_912349010008_7869_0100.png,usable_single_cell,,,round2,,hard_leaf_new,8.0,0.0,8.0,4.0,2
qc_0002,/home/wangqianqian/project/FS/data/28gusui&pizang/03/01/cell_1761645691632_912349010008_7941_0100.png,28gusui&pizang/03/01,cell_1761645691632_912349010008_7941_0100.png,usable_single_cell,,,round1,,,,,,,1
qc_0003,/home/wangqianqian/project/FS/data/28gusui&pizang/03/01/cell_1761645692003_912349010008_7964_0100.png,28gusui&pizang/03/01,cell_1761645692003_912349010008_7964_0100.png,uncertain,,,round1,,,,,,,1
qc_0004,/home/wangqianqian/project/FS/data/28gusui&pizang/03/01/cell_1761645693863_912349010008_8032_0000.png,28gusui&pizang/03/01,cell_1761645693863_912349010008_8032_0000.png,uncertain,,,round1,,,,,,,1
qc2_0142,/home/wangqianqian/project/FS/data/28gusui&pizang/03/01/cell_1761645695281_912349010008_8108_0000.png,28gusui&pizang/03/01,cell_1761645695281_912349010008_8108_0000.png,usable_single_cell,,,round2,,hard_leaf_new,8.0,0.0,8.0,4.0,2
qc_0005,/home/wangqianqian/project/FS/data/28gusui&pizang/03/01/cell_1761645697410_912349010008_8237_0000.png,28gusui&pizang/03/01,cell_1761645697410_912349010008_8237_0000.png,usable_single_cell,,,round1,,,,,,,1
qc_0006,/home/wangqianqian/project/FS/data/28gusui&pizang/03/01/cell_1761645698552_912349010008_8291_0100.png,28gusui&pizang/03/01,cell_1761645698552_912349010008_8291_0100.png,uncertain,,,round1,,,,,,,1
qc_0007,/home/wangqianqian/project/FS/data/28gusui&pizang/03/01/cell_1761645699557_912349010008_8363_0000.png,28gusui&pizang/03/01,cell_1761645699557_912349010008_8363_0000.png,usable_single_cell,,,round1,,,,,,,1
qc2_0143,/home/wangqianqian/project/FS/data/28gusui&pizang/03/01/cell_1761645701940_912349010008_8511_0000.png,28gusui&pizang/03/01,cell_1761645701940_912349010008_8511_0000.png,usable_single_cell,,,round2,,hard_leaf_new,8.0,0.0,8.0,4.0,2
qc2_0144,/home/wangqianqian/project/FS/data/28gusui&pizang/03/01/cell_1761645702000_912349010008_8515_0100.png,28gusui&pizang/03/01,cell_1761645702000_912349010008_8515_0100.png,usable_single_cell,,,round2,,hard_leaf_new,8.0,0.0,8.0,4.0,2
qc2_0145,/home/wangqianqian/project/FS/data/28gusui&pizang/03/01/cell_1761645704196_912349010008_8645_0100.png,28gusui&pizang/03/01,cell_1761645704196_912349010008_8645_0100.png,usable_single_cell,,,round2,,hard_leaf_new,8.0,0.0,8.0,4.0,2
qc2_0146,/home/wangqianqian/project/FS/data/28gusui&pizang/03/01/cell_1761645706826_912349010008_8802_0100.png,28gusui&pizang/03/01,cell_1761645706826_912349010008_8802_0100.png,usable_single_cell,,,round2,,hard_leaf_new,8.0,0.0,8.0,4.0,2
qc2_0147,/home/wangqianqian/project/FS/data/28gusui&pizang/03/01/cell_1761645710261_912349010008_9027_0000.png,28gusui&pizang/03/01,cell_1761645710261_912349010008_9027_0000.png,reject,adhesion,,round2,,hard_leaf_new,8.0,0.0,8.0,4.0,2
qc_0008,/home/wangqianqian/project/FS/data/28gusui&pizang/03/01/cell_1761645713499_912349010008_9231_0100.png,28gusui&pizang/03/01,cell_1761645713499_912349010008_9231_0100.png,uncertain,,,round1,,,,,,,1
qc_0009,/home/wangqianqian/project/FS/data/28gusui&pizang/03/01/cell_1761645714698_912349010008_9320_0000.png,28gusui&pizang/03/01,cell_1761645714698_912349010008_9320_0000.png,uncertain,,,round1,,,,,,,1
qc2_0148,/home/wangqianqian/project/FS/data/28gusui&pizang/03/01/cell_1761645715980_912349010008_9441_0100.png,28gusui&pizang/03/01,cell_1761645715980_912349010008_9441_0100.png,usable_single_cell,,,round2,,hard_leaf_new,8.0,0.0,8.0,4.0,2
qc_0010,/home/wangqianqian/project/FS/data/28gusui&pizang/03/01/cell_1761645716189_912349010008_9468_0100.png,28gusui&pizang/03/01,cell_1761645716189_912349010008_9468_0100.png,uncertain,,,round1,,,,,,,1
qc_0011,/home/wangqianqian/project/FS/data/28gusui&pizang/03/01/cell_1761645716395_912349010008_9478_0000.png,28gusui&pizang/03/01,cell_1761645716395_912349010008_9478_0000.png,usable_single_cell,,,round1,,,,,,,1
qc_0012,/home/wangqianqian/project/FS/data/28gusui&pizang/03/01/cell_1761645716426_912349010008_9480_0000.png,28gusui&pizang/03/01,cell_1761645716426_912349010008_9480_0000.png,uncertain,,,round1,,,,,,,1
qc2_0181,/home/wangqianqian/project/FS/data/28gusui&pizang/03/02/cell_1761645721242_912349010008_9857_0100.png,28gusui&pizang/03/02,cell_1761645721242_912349010008_9857_0100.png,reject,adhesion,,round2,,hard_leaf_new,7.0,1.0,5.0,6.0,2
qc_0013,/home/wangqianqian/project/FS/data/28gusui&pizang/03/02/cell_1761645721842_912349010008_9900_0100.png,28gusui&pizang/03/02,cell_1761645721842_912349010008_9900_0100.png,uncertain,,,round1,,,,,,,1
qc_0014,/home/wangqianqian/project/FS/data/28gusui&pizang/03/02/cell_1761645722040_912349010008_9909_0100.png,28gusui&pizang/03/02,cell_1761645722040_912349010008_9909_0100.png,usable_single_cell,,,round1,,,,,,,1
qc_0015,/home/wangqianqian/project/FS/data/28gusui&pizang/03/02/cell_1761645725954_912349010008_10187_0000.png,28gusui&pizang/03/02,cell_1761645725954_912349010008_10187_0000.png,usable_single_cell,,,round1,,,,,,,1
qc_0016,/home/wangqianqian/project/FS/data/28gusui&pizang/03/02/cell_1761645726358_912349010008_10218_0100.png,28gusui&pizang/03/02,cell_1761645726358_912349010008_10218_0100.png,uncertain,,,round1,,,,,,,1
qc2_0182,/home/wangqianqian/project/FS/data/28gusui&pizang/03/02/cell_1761645733642_912349010008_10692_0000.png,28gusui&pizang/03/02,cell_1761645733642_912349010008_10692_0000.png,uncertain,dead_or_broken,,round2,,hard_leaf_new,7.0,1.0,5.0,6.0,2
qc_0017,/home/wangqianqian/project/FS/data/28gusui&pizang/03/02/cell_1761645735263_912349010008_10814_0100.png,28gusui&pizang/03/02,cell_1761645735263_912349010008_10814_0100.png,usable_single_cell,,,round1,,,,,,,1
